round	score	net_pnl	win_rate	sharpe	max_dd	trades	status	changes
0	2.2522	-28.04	0.533	0.34	13.2	45	baseline	初始参数
1	2.0710	-69.83	0.533	0.22	13.9	45	discard	sl_atr_mult: 1.5→1.6
2	0.4465	-198.62	0.538	-0.44	15.0	52	discard	ema_fast: 20→28 | adx_threshold: 25→24
3	0.8508	-65.15	0.522	0.12	13.2	46	discard	cooldown_bars: 8→6
4	2.2522	-28.04	0.533	0.34	13.2	45	discard	max_distance_ema: 1.5→1.26
5	1.9722	95.07	0.548	0.83	13.2	42	discard	tp_atr_mult: 2.5→2.26
6	2.1851	-10.87	0.556	0.35	13.2	45	discard	trailing_activate_atr: 1.5→1.31
7	2.0871	-65.24	0.533	0.24	13.8	45	discard	sl_atr_mult: 1.5→1.59
8	1.4207	-228.42	0.533	-0.50	13.3	45	discard	trailing_distance_atr: 0.8→0.71 | ema_fast: 20→18
9	1.3242	-46.01	0.522	0.29	13.2	46	discard	adx_threshold_eth: 30→31 | adx_threshold: 25→24
10	1.8166	-57.37	0.510	-0.05	13.6	51	discard	ema_slow: 50→46
11	2.0871	-65.24	0.533	0.24	13.8	45	discard	sl_atr_mult: 1.5→1.59
12	0.7164	-56.61	0.522	0.17	12.9	46	discard	sl_atr_mult: 1.5→1.41
13	0.6191	90.91	0.500	0.50	13.2	44	discard	trailing_activate_atr: 1.5→1.59 | trailing_distance_atr: 0.8→0.71
14	2.0673	-78.39	0.553	0.20	13.2	47	discard	min_confidence: 0.6→0.56
15	2.2522	-28.04	0.533	0.34	13.2	45	discard	max_distance_ema: 1.5→1.29
16	2.2727	-56.85	0.524	0.26	13.2	42	keep	adx_threshold: 25→26
17	0.6280	-135.21	0.538	-0.16	13.2	39	discard	trailing_activate_atr: 1.5→1.17 | max_distance_ema: 1.5→0.5
18	0.9524	-106.20	0.531	-0.11	13.6	49	discard	tp_atr_mult: 2.5→2.71
19	0.5451	35.71	0.488	0.34	13.2	41	discard	cooldown_bars: 8→10 | trailing_activate_atr: 1.5→1.58
20	0.3119	-284.21	0.500	-0.58	20.0	44	discard	ema_fast: 20→22
21	2.2727	-56.85	0.524	0.26	13.2	42	discard	max_distance_ema: 1.5→1.3
22	2.2727	-56.85	0.524	0.26	13.2	42	discard	adx_threshold_eth: 30→29
23	2.2535	-89.13	0.524	0.13	13.2	42	discard	trailing_activate_atr: 1.5→1.42
24	1.6791	-22.09	0.512	0.33	13.2	41	discard	trailing_distance_atr: 0.8→0.88
25	2.2727	-56.85	0.524	0.26	13.2	42	discard	max_distance_ema: 1.5→2.06
26	1.6931	-18.98	0.512	0.34	13.2	41	discard	trailing_distance_atr: 0.8→0.87
27	1.7735	-18.95	0.541	0.36	13.2	37	discard	min_confidence: 0.6→0.64
28	0.5226	6.83	0.488	0.26	13.7	41	discard	trailing_activate_atr: 1.5→1.57 | sl_atr_mult: 1.5→1.57
29	1.9955	44.39	0.538	0.67	13.2	39	discard	tp_atr_mult: 2.5→2.32
30	1.9269	-33.62	0.532	-0.23	13.7	62	discard	tp_atr_mult: 2.5→3.02
31	2.1490	-85.01	0.524	0.18	13.7	42	discard	sl_atr_mult: 1.5→1.57
32	1.8154	1.61	0.564	0.36	13.2	39	discard	min_confidence: 0.6→0.63
33	0.4288	-143.07	0.528	-0.19	13.2	53	discard	min_confidence: 0.6→0.47 | tp_atr_mult: 2.5→2.67
34	2.2522	-28.04	0.533	0.34	13.2	45	discard	adx_threshold: 26→25
35	0.6960	-91.95	0.512	0.07	12.9	43	discard	sl_atr_mult: 1.5→1.44
36	1.5593	-250.15	0.467	-0.61	13.6	45	discard	ema_slow: 50→47
37	2.2727	-56.85	0.524	0.26	13.2	42	discard	adx_threshold_eth: 30→33
38	2.0566	-38.17	0.524	0.30	13.2	42	discard	trailing_distance_atr: 0.8→0.86
39	2.2727	-56.85	0.524	0.26	13.2	42	discard	max_distance_ema: 1.5→1.65
40	5.1451	161.84	0.568	1.35	13.4	37	keep	ema_slow: 50→53 | tp_atr_mult: 2.5→2.35
41	-999.0000	0.00	0.000	0.00	0.0	0	discard	sl_atr_mult: 1.5→1.68
42	5.1451	161.84	0.568	1.35	13.4	37	discard	trailing_activate_atr: 1.5→1.44
43	0.7751	75.56	0.553	0.59	13.4	38	discard	ema_fast: 20→21
44	2.4345	259.23	0.594	1.15	10.3	32	discard	sl_atr_mult: 1.5→1.56 | ema_slow: 53→56
45	5.1451	161.84	0.568	1.35	13.4	37	discard	max_distance_ema: 1.5→1.36
46	5.3441	177.67	0.568	1.42	13.4	37	keep	trailing_distance_atr: 0.8→0.75
47	5.3441	177.67	0.568	1.42	13.4	37	discard	adx_threshold_eth: 30→29
48	3.6707	193.86	0.575	1.11	13.4	40	discard	adx_threshold: 26→25
49	5.3441	177.67	0.568	1.42	13.4	37	discard	cooldown_bars: 8→5
50	0.8221	90.74	0.553	0.64	13.4	38	discard	ema_fast: 20→21
